,ground_truth_crude,ground_truth_adjusted,mental,antidepressant,psychiatrist,rejected,trajectory,woeful,wounded,abuse,caregiver,misery,kill,anxiety,reckless,nervous,distracted,nothing,health,sad,talk,monitor,unpredictable,distractable,opinion,appetite loss,fatalistic,upset,tearful,sadness,drinking,alienation,warning,misunderstanding,anger,despondent,fragile,down,uneasy,medication,patience,withdrawn,melancholia,nightmarish,pessimistic,pessimism,breakdown,level,endure,fatigue,clinical,failed,dreadful,poor,agitated,anxious,gloomy,amenorrhea,catatonic,distressed,progress,die,paranoid,heal,fight,debilitating,weak,worthless,peers,demoralized,sorrow,melancholy,weepy,irrational,miserable,drugs,worry,crying,treatment,struggle,cruel,hopelessness,irritable,interested,discontented,attitude,fast food,alcohol,crushed,finality,disheartened,unfulfilled,separation,pain,sympathetic,grouchy,disinterest,tragic,discrimination,seriousness,obesity,unconcerned,unloved,talking,death,detriment,grief,uncomfortable,observation,tragedy,unhappy,education,diagnosis,therapy,low sex drive,isolation,fat,trapped,abnormal,family,exhausted,gain,vulnerable,depressed,resulting,studies,terrified,uncooperative,unsettling,esteem,afraid,tired,prevent,protect,inactivity,suffer,desperate,insecure,media,distraught,crisis,suffering,anguish,grieving,withdrawal,lousy,need,burger,weight loss,physician,affect,broken,child,patient,help,devastated,dismal,pattern,disorder,friends,excluded,problem,skills,needy,shattered,evaluation,fatigued,inconsolable,inadequate,morbid,counsel,diet,desolate,hurt,freaking,overcome,lonely,wretched,overeating,mental health,agony,donut,injured,defeated,insomnia,low,sorrowful,suicidal,suicide,uncertain,wailing,fear,substance abuse,youth,antisocial,solitary,aid,moody,blase,forlorn,confusion,consumed,feelings,validation,courage,alone,panic,oppressed,improvement,downhearted,knowledgeable,dog days,abandoned,troubled,siblings,sleep,oncoming,despair,strength,isolated,scared,irritability,reactive,empty,hot-line,inability,depression,negative,sport,dejected
Mississippi,18.2,18.1,84.0,74.0,67.0,73.0,43.0,0.0,39.0,67.0,13.0,18.0,96.0,73.0,50.0,96.0,50.0,92.0,63.0,29.0,63.0,34.0,100.0,0.0,29.0,87.0,81.0,83.0,0.0,57.0,78.0,88.0,53.0,46.0,90.0,100.0,70.0,100.0,76.0,84.0,77.0,63.0,33.0,0.0,66.0,28.0,67.0,94.0,100.0,87.0,46.0,58.0,58.0,96.0,87.0,100.0,80.0,47.0,60.0,100.0,12.0,93.0,66.0,39.0,72.0,81.0,98.0,48.0,59.0,0.0,100.0,100.0,0.0,68.0,65.0,67.0,91.0,94.0,91.0,95.0,67.0,47.0,77.0,96.0,49.0,42.0,76.0,76.0,61.0,0.0,0.0,0.0,58.0,90.0,93.0,50.0,0.0,67.0,76.0,99.0,90.0,0.0,55.0,56.0,91.0,87.0,77.0,77.0,100.0,81.0,78.0,91.0,94.0,78.0,70.0,84.0,99.0,99.0,100.0,88.0,61.0,100.0,77.0,75.0,71.0,85.0,79.0,0.0,30.0,75.0,74.0,97.0,80.0,83.0,78.0,78.0,57.0,58.0,42.0,100.0,63.0,75.0,85.0,54.0,65.0,33.0,98.0,78.0,100.0,78.0,100.0,15.0,88.0,70.0,98.0,100.0,100.0,67.0,89.0,78.0,85.0,93.0,94.0,67.0,74.0,62.0,56.0,64.0,80.0,39.0,25.0,98.0,87.0,94.0,68.0,84.0,67.0,90.0,48.0,75.0,45.0,67.0,90.0,64.0,94.0,95.0,34.0,65.0,70.0,36.0,32.0,49.0,37.0,77.0,82.0,67.0,50.0,22.0,55.0,43.0,66.0,63.0,100.0,15.0,79.0,77.0,88.0,80.0,66.0,0.0,50.0,70.0,69.0,100.0,96.0,98.0,33.0,52.0,84.0,72.0,100.0,49.0,80.0,67.0,0.0,99.0,78.0,91.0,67.0,69.0
Missouri,21.8,21.9,79.0,62.0,85.0,75.0,56.0,71.0,44.0,77.0,11.0,22.0,83.0,77.0,69.0,86.0,53.0,80.0,66.0,31.0,52.0,41.0,51.0,0.0,27.0,86.0,85.0,81.0,86.0,75.0,75.0,49.0,64.0,40.0,76.0,58.0,81.0,87.0,67.0,80.0,85.0,48.0,64.0,11.0,70.0,69.0,74.0,94.0,49.0,83.0,55.0,75.0,72.0,87.0,48.0,75.0,51.0,64.0,51.0,45.0,13.0,91.0,63.0,36.0,70.0,49.0,81.0,61.0,100.0,38.0,54.0,75.0,49.0,49.0,70.0,46.0,77.0,86.0,80.0,73.0,69.0,37.0,75.0,80.0,39.0,31.0,86.0,81.0,90.0,26.0,57.0,47.0,74.0,80.0,72.0,39.0,0.0,58.0,78.0,58.0,67.0,39.0,63.0,53.0,91.0,60.0,83.0,74.0,73.0,73.0,62.0,58.0,83.0,75.0,61.0,75.0,88.0,60.0,67.0,96.0,49.0,88.0,46.0,82.0,51.0,71.0,51.0,26.0,16.0,83.0,75.0,84.0,75.0,81.0,46.0,65.0,63.0,68.0,48.0,46.0,79.0,82.0,60.0,51.0,69.0,30.0,98.0,69.0,76.0,74.0,81.0,17.0,100.0,58.0,84.0,47.0,20.0,66.0,82.0,78.0,82.0,80.0,77.0,91.0,79.0,63.0,80.0,34.0,64.0,55.0,32.0,85.0,63.0,75.0,74.0,75.0,68.0,51.0,38.0,68.0,55.0,80.0,78.0,59.0,66.0,80.0,32.0,78.0,78.0,51.0,43.0,49.0,58.0,63.0,64.0,67.0,33.0,18.0,43.0,59.0,70.0,62.0,61.0,26.0,53.0,66.0,84.0,56.0,75.0,0.0,79.0,57.0,81.0,67.0,80.0,89.0,22.0,53.0,78.0,57.0,84.0,47.0,78.0,77.0,76.0,68.0,79.0,86.0,65.0,60.0
Montana,19.9,20.1,100.0,95.0,49.0,55.0,89.0,0.0,70.0,69.0,11.0,23.0,84.0,83.0,55.0,68.0,26.0,68.0,71.0,30.0,62.0,42.0,0.0,0.0,25.0,78.0,0.0,84.0,0.0,76.0,86.0,54.0,59.0,14.0,74.0,51.0,87.0,89.0,0.0,81.0,55.0,56.0,59.0,0.0,65.0,0.0,68.0,81.0,43.0,100.0,46.0,71.0,75.0,89.0,56.0,93.0,24.0,17.0,27.0,28.0,11.0,85.0,36.0,35.0,68.0,43.0,78.0,48.0,62.0,0.0,75.0,77.0,0.0,42.0,50.0,43.0,83.0,86.0,91.0,53.0,71.0,0.0,71.0,70.0,0.0,33.0,58.0,100.0,53.0,0.0,0.0,0.0,69.0,79.0,80.0,0.0,0.0,63.0,58.0,0.0,64.0,0.0,0.0,54.0,92.0,0.0,92.0,65.0,53.0,70.0,37.0,54.0,75.0,100.0,0.0,74.0,79.0,66.0,55.0,78.0,45.0,90.0,43.0,84.0,47.0,63.0,84.0,0.0,0.0,60.0,83.0,71.0,68.0,79.0,0.0,37.0,54.0,69.0,49.0,27.0,66.0,77.0,46.0,67.0,73.0,0.0,84.0,57.0,73.0,58.0,75.0,14.0,82.0,46.0,89.0,26.0,32.0,91.0,87.0,84.0,68.0,80.0,74.0,42.0,86.0,63.0,80.0,0.0,40.0,39.0,21.0,88.0,100.0,68.0,78.0,69.0,81.0,54.0,38.0,100.0,71.0,46.0,88.0,32.0,39.0,82.0,0.0,81.0,95.0,21.0,81.0,43.0,32.0,83.0,73.0,84.0,34.0,17.0,24.0,69.0,59.0,39.0,52.0,17.0,65.0,71.0,83.0,32.0,69.0,0.0,98.0,27.0,77.0,65.0,71.0,94.0,0.0,60.0,82.0,66.0,78.0,77.0,66.0,77.0,0.0,84.0,80.0,76.0,66.0,0.0
Nebraska,17.6,17.6,65.0,53.0,53.0,64.0,37.0,0.0,41.0,68.0,8.0,16.0,80.0,76.0,74.0,74.0,42.0,92.0,69.0,33.0,47.0,41.0,41.0,0.0,25.0,58.0,0.0,91.0,0.0,80.0,86.0,71.0,60.0,28.0,60.0,92.0,76.0,83.0,55.0,77.0,80.0,45.0,63.0,0.0,47.0,50.0,67.0,81.0,44.0,77.0,52.0,77.0,58.0,78.0,58.0,72.0,73.0,67.0,36.0,39.0,9.0,83.0,73.0,35.0,74.0,64.0,71.0,54.0,62.0,0.0,52.0,77.0,0.0,52.0,77.0,39.0,76.0,84.0,83.0,76.0,66.0,67.0,66.0,76.0,0.0,34.0,88.0,90.0,55.0,47.0,0.0,0.0,68.0,82.0,55.0,40.0,0.0,57.0,85.0,100.0,65.0,0.0,0.0,50.0,89.0,25.0,89.0,87.0,63.0,58.0,50.0,71.0,80.0,87.0,0.0,89.0,92.0,59.0,61.0,98.0,53.0,93.0,57.0,73.0,39.0,69.0,67.0,0.0,0.0,94.0,90.0,86.0,79.0,79.0,51.0,78.0,63.0,70.0,45.0,57.0,64.0,70.0,64.0,50.0,68.0,29.0,94.0,81.0,79.0,71.0,73.0,20.0,86.0,53.0,80.0,41.0,76.0,70.0,79.0,83.0,79.0,78.0,81.0,41.0,72.0,64.0,56.0,35.0,51.0,34.0,29.0,82.0,77.0,67.0,72.0,71.0,69.0,50.0,35.0,59.0,44.0,75.0,85.0,38.0,45.0,76.0,39.0,77.0,80.0,55.0,61.0,52.0,51.0,72.0,69.0,85.0,36.0,19.0,100.0,35.0,58.0,54.0,61.0,24.0,80.0,75.0,77.0,67.0,64.0,0.0,59.0,52.0,75.0,55.0,77.0,92.0,35.0,44.0,76.0,57.0,76.0,49.0,65.0,79.0,0.0,36.0,77.0,75.0,73.0,14.0
Nevada,16.6,16.6,59.0,34.0,58.0,71.0,20.0,27.0,32.0,62.0,23.0,23.0,84.0,70.0,72.0,66.0,45.0,98.0,64.0,36.0,37.0,37.0,44.0,0.0,32.0,67.0,96.0,91.0,0.0,85.0,74.0,31.0,54.0,46.0,78.0,54.0,71.0,81.0,56.0,76.0,74.0,72.0,45.0,0.0,61.0,42.0,68.0,74.0,43.0,76.0,41.0,77.0,71.0,72.0,57.0,76.0,89.0,55.0,46.0,44.0,10.0,87.0,65.0,38.0,100.0,61.0,84.0,56.0,52.0,18.0,54.0,100.0,47.0,58.0,63.0,42.0,66.0,100.0,73.0,53.0,81.0,47.0,57.0,76.0,100.0,33.0,100.0,83.0,43.0,50.0,73.0,75.0,71.0,73.0,60.0,100.0,0.0,66.0,71.0,50.0,54.0,0.0,94.0,52.0,100.0,53.0,68.0,85.0,80.0,59.0,57.0,48.0,54.0,72.0,61.0,67.0,90.0,54.0,56.0,70.0,64.0,85.0,47.0,81.0,48.0,50.0,47.0,100.0,45.0,78.0,81.0,83.0,79.0,90.0,28.0,79.0,63.0,94.0,46.0,51.0,56.0,63.0,52.0,44.0,74.0,57.0,90.0,100.0,70.0,55.0,68.0,13.0,64.0,46.0,78.0,58.0,17.0,52.0,64.0,81.0,74.0,77.0,74.0,66.0,75.0,52.0,85.0,41.0,77.0,55.0,25.0,77.0,98.0,68.0,56.0,53.0,59.0,35.0,43.0,52.0,60.0,69.0,89.0,42.0,42.0,75.0,10.0,92.0,94.0,36.0,49.0,52.0,49.0,44.0,55.0,69.0,40.0,14.0,52.0,69.0,65.0,51.0,70.0,16.0,61.0,66.0,85.0,43.0,55.0,0.0,80.0,62.0,81.0,52.0,82.0,89.0,100.0,61.0,63.0,66.0,86.0,31.0,64.0,73.0,0.0,46.0,67.0,77.0,87.0,40.0
New Hampshire,20.9,21.3,88.0,51.0,53.0,60.0,52.0,0.0,58.0,78.0,11.0,31.0,78.0,86.0,77.0,80.0,55.0,73.0,68.0,29.0,45.0,100.0,36.0,0.0,26.0,66.0,0.0,93.0,0.0,65.0,82.0,61.0,63.0,28.0,66.0,53.0,70.0,87.0,42.0,86.0,53.0,78.0,82.0,0.0,36.0,17.0,73.0,85.0,30.0,88.0,53.0,88.0,89.0,95.0,46.0,54.0,91.0,52.0,19.0,37.0,12.0,84.0,45.0,40.0,55.0,100.0,90.0,33.0,40.0,0.0,49.0,46.0,0.0,59.0,64.0,47.0,67.0,79.0,85.0,59.0,81.0,0.0,64.0,76.0,0.0,27.0,42.0,96.0,69.0,0.0,0.0,0.0,60.0,80.0,68.0,38.0,0.0,49.0,66.0,0.0,65.0,0.0,0.0,53.0,93.0,86.0,83.0,85.0,59.0,84.0,68.0,67.0,75.0,89.0,0.0,91.0,81.0,68.0,62.0,85.0,44.0,84.0,44.0,82.0,37.0,73.0,86.0,0.0,0.0,75.0,100.0,79.0,89.0,71.0,35.0,49.0,67.0,53.0,55.0,18.0,73.0,66.0,74.0,42.0,75.0,100.0,84.0,51.0,68.0,67.0,85.0,14.0,70.0,70.0,78.0,9.0,38.0,79.0,93.0,91.0,79.0,92.0,78.0,58.0,67.0,59.0,82.0,100.0,48.0,34.0,21.0,83.0,57.0,61.0,82.0,45.0,69.0,32.0,73.0,96.0,72.0,65.0,97.0,44.0,34.0,82.0,8.0,83.0,79.0,51.0,48.0,49.0,69.0,70.0,65.0,54.0,90.0,24.0,36.0,42.0,58.0,70.0,54.0,27.0,64.0,69.0,87.0,77.0,69.0,0.0,67.0,77.0,81.0,83.0,61.0,88.0,20.0,55.0,82.0,60.0,66.0,100.0,62.0,99.0,0.0,85.0,80.0,81.0,79.0,37.0
New Jersey,12.7,12.5,62.0,51.0,85.0,76.0,42.0,83.0,40.0,63.0,12.0,29.0,78.0,73.0,54.0,70.0,63.0,75.0,57.0,31.0,34.0,40.0,48.0,0.0,30.0,70.0,63.0,78.0,34.0,87.0,71.0,51.0,53.0,48.0,74.0,83.0,74.0,79.0,73.0,72.0,69.0,97.0,60.0,39.0,70.0,73.0,66.0,82.0,48.0,66.0,72.0,82.0,85.0,88.0,64.0,69.0,77.0,60.0,45.0,50.0,12.0,76.0,78.0,35.0,71.0,47.0,85.0,48.0,48.0,51.0,49.0,82.0,32.0,64.0,88.0,45.0,89.0,94.0,79.0,78.0,77.0,51.0,67.0,86.0,23.0,31.0,48.0,74.0,49.0,56.0,100.0,37.0,66.0,73.0,60.0,28.0,79.0,73.0,73.0,58.0,66.0,69.0,32.0,48.0,83.0,55.0,71.0,82.0,85.0,77.0,71.0,75.0,69.0,85.0,56.0,81.0,84.0,64.0,68.0,77.0,56.0,91.0,56.0,76.0,39.0,75.0,73.0,50.0,60.0,81.0,73.0,79.0,83.0,86.0,48.0,69.0,64.0,72.0,57.0,54.0,77.0,71.0,55.0,38.0,75.0,62.0,83.0,71.0,65.0,69.0,77.0,12.0,77.0,56.0,69.0,48.0,32.0,48.0,74.0,89.0,70.0,91.0,76.0,54.0,72.0,67.0,64.0,50.0,46.0,50.0,40.0,76.0,60.0,62.0,60.0,74.0,62.0,38.0,48.0,49.0,60.0,66.0,78.0,45.0,51.0,73.0,37.0,70.0,78.0,54.0,39.0,51.0,50.0,56.0,63.0,82.0,67.0,14.0,44.0,56.0,73.0,45.0,72.0,33.0,60.0,68.0,80.0,63.0,70.0,100.0,54.0,62.0,74.0,58.0,79.0,86.0,44.0,66.0,70.0,72.0,78.0,37.0,72.0,84.0,0.0,60.0,76.0,83.0,88.0,74.0
New Mexico,20.2,20.1,69.0,59.0,71.0,67.0,59.0,0.0,56.0,84.0,20.0,17.0,83.0,78.0,74.0,77.0,42.0,79.0,64.0,33.0,45.0,47.0,46.0,0.0,27.0,50.0,0.0,93.0,0.0,88.0,75.0,36.0,58.0,33.0,75.0,99.0,86.0,86.0,100.0,80.0,71.0,59.0,83.0,0.0,43.0,30.0,74.0,82.0,66.0,92.0,41.0,83.0,95.0,80.0,40.0,81.0,79.0,86.0,54.0,35.0,10.0,93.0,67.0,36.0,87.0,35.0,83.0,86.0,39.0,0.0,61.0,67.0,0.0,67.0,26.0,42.0,65.0,96.0,88.0,93.0,85.0,75.0,72.0,70.0,0.0,38.0,68.0,94.0,46.0,0.0,0.0,0.0,97.0,76.0,66.0,26.0,0.0,68.0,79.0,0.0,65.0,0.0,0.0,53.0,89.0,46.0,74.0,59.0,83.0,65.0,45.0,79.0,77.0,83.0,0.0,89.0,86.0,60.0,59.0,79.0,70.0,81.0,61.0,100.0,62.0,72.0,50.0,0.0,96.0,100.0,83.0,77.0,75.0,87.0,38.0,86.0,57.0,70.0,42.0,27.0,73.0,79.0,69.0,55.0,72.0,61.0,90.0,68.0,71.0,71.0,85.0,14.0,69.0,55.0,84.0,46.0,30.0,78.0,78.0,79.0,64.0,91.0,76.0,59.0,92.0,91.0,24.0,87.0,35.0,61.0,22.0,86.0,33.0,73.0,44.0,97.0,73.0,42.0,46.0,63.0,59.0,69.0,66.0,50.0,47.0,84.0,51.0,100.0,87.0,57.0,56.0,51.0,87.0,63.0,85.0,76.0,34.0,18.0,34.0,31.0,80.0,56.0,74.0,19.0,67.0,70.0,83.0,57.0,67.0,0.0,100.0,45.0,65.0,82.0,62.0,89.0,70.0,78.0,79.0,56.0,89.0,60.0,78.0,67.0,0.0,70.0,75.0,81.0,66.0,42.0
New York,15.7,15.7,67.0,49.0,84.0,75.0,41.0,49.0,34.0,63.0,10.0,30.0,76.0,70.0,47.0,69.0,40.0,76.0,56.0,31.0,40.0,34.0,48.0,0.0,27.0,65.0,57.0,80.0,65.0,76.0,75.0,45.0,48.0,52.0,75.0,63.0,79.0,79.0,61.0,71.0,80.0,73.0,81.0,17.0,61.0,63.0,63.0,71.0,49.0,70.0,54.0,73.0,87.0,79.0,58.0,80.0,82.0,61.0,43.0,52.0,11.0,73.0,66.0,37.0,72.0,51.0,82.0,54.0,50.0,46.0,47.0,73.0,30.0,62.0,96.0,46.0,71.0,91.0,80.0,84.0,83.0,47.0,61.0,82.0,61.0,30.0,57.0,78.0,50.0,37.0,54.0,34.0,64.0,74.0,61.0,27.0,56.0,59.0,69.0,40.0,55.0,59.0,44.0,47.0,81.0,40.0,69.0,70.0,86.0,69.0,72.0,57.0,64.0,80.0,55.0,67.0,88.0,60.0,58.0,70.0,53.0,91.0,56.0,75.0,37.0,76.0,62.0,36.0,64.0,72.0,69.0,78.0,76.0,75.0,43.0,69.0,66.0,84.0,63.0,46.0,73.0,60.0,51.0,40.0,72.0,54.0,83.0,90.0,66.0,66.0,69.0,13.0,73.0,50.0,70.0,45.0,29.0,50.0,74.0,88.0,61.0,80.0,66.0,51.0,71.0,58.0,55.0,58.0,49.0,67.0,47.0,73.0,64.0,63.0,47.0,69.0,76.0,47.0,45.0,56.0,48.0,69.0,69.0,41.0,67.0,70.0,33.0,63.0,76.0,47.0,47.0,46.0,51.0,54.0,64.0,76.0,73.0,16.0,46.0,48.0,66.0,44.0,89.0,25.0,59.0,73.0,78.0,60.0,64.0,66.0,64.0,53.0,68.0,51.0,68.0,82.0,45.0,61.0,62.0,67.0,79.0,45.0,60.0,80.0,15.0,57.0,67.0,80.0,83.0,57.0
North Carolina,18.8,18.6,67.0,55.0,75.0,70.0,51.0,32.0,50.0,73.0,15.0,21.0,95.0,69.0,65.0,85.0,38.0,91.0,72.0,29.0,51.0,37.0,54.0,0.0,26.0,68.0,52.0,85.0,73.0,69.0,74.0,97.0,55.0,51.0,74.0,65.0,65.0,88.0,62.0,76.0,86.0,71.0,53.0,38.0,70.0,78.0,67.0,89.0,67.0,74.0,72.0,70.0,61.0,81.0,57.0,85.0,74.0,57.0,49.0,46.0,38.0,85.0,72.0,36.0,70.0,51.0,90.0,55.0,53.0,43.0,56.0,65.0,48.0,65.0,72.0,46.0,77.0,85.0,85.0,75.0,65.0,55.0,64.0,93.0,51.0,38.0,78.0,80.0,51.0,49.0,91.0,75.0,100.0,80.0,65.0,37.0,54.0,63.0,79.0,41.0,76.0,37.0,30.0,53.0,86.0,53.0,76.0,66.0,69.0,70.0,61.0,90.0,69.0,77.0,64.0,72.0,89.0,64.0,68.0,90.0,54.0,92.0,54.0,75.0,72.0,86.0,72.0,59.0,88.0,72.0,73.0,79.0,80.0,90.0,44.0,76.0,62.0,71.0,47.0,56.0,78.0,64.0,57.0,42.0,75.0,34.0,91.0,72.0,85.0,70.0,88.0,13.0,95.0,58.0,88.0,49.0,45.0,64.0,74.0,78.0,57.0,87.0,87.0,55.0,67.0,69.0,87.0,43.0,64.0,43.0,23.0,80.0,63.0,78.0,50.0,85.0,68.0,49.0,44.0,55.0,44.0,56.0,77.0,57.0,51.0,83.0,30.0,63.0,75.0,60.0,51.0,100.0,88.0,59.0,66.0,72.0,57.0,27.0,64.0,49.0,71.0,50.0,75.0,24.0,63.0,65.0,87.0,55.0,94.0,16.0,77.0,74.0,69.0,67.0,75.0,86.0,34.0,64.0,77.0,73.0,89.0,53.0,77.0,75.0,0.0,63.0,77.0,85.0,75.0,73.0
North Dakota,18.8,19.0,69.0,80.0,54.0,64.0,56.0,0.0,36.0,80.0,12.0,16.0,78.0,89.0,97.0,98.0,74.0,60.0,100.0,31.0,55.0,44.0,33.0,0.0,31.0,54.0,62.0,79.0,0.0,53.0,100.0,78.0,56.0,0.0,67.0,49.0,44.0,82.0,0.0,83.0,80.0,36.0,51.0,0.0,100.0,0.0,100.0,88.0,49.0,88.0,46.0,72.0,53.0,87.0,14.0,56.0,46.0,65.0,46.0,68.0,11.0,86.0,84.0,34.0,65.0,56.0,91.0,62.0,61.0,0.0,40.0,54.0,0.0,42.0,49.0,46.0,60.0,77.0,84.0,61.0,65.0,0.0,80.0,68.0,0.0,32.0,57.0,99.0,71.0,0.0,0.0,0.0,68.0,80.0,79.0,0.0,0.0,43.0,83.0,0.0,66.0,0.0,0.0,49.0,88.0,0.0,68.0,79.0,68.0,69.0,37.0,60.0,69.0,95.0,0.0,79.0,80.0,74.0,57.0,96.0,58.0,83.0,59.0,87.0,64.0,76.0,54.0,0.0,0.0,56.0,76.0,72.0,85.0,85.0,0.0,77.0,72.0,56.0,41.0,34.0,62.0,63.0,59.0,39.0,70.0,0.0,89.0,55.0,84.0,58.0,79.0,12.0,88.0,61.0,76.0,16.0,12.0,71.0,89.0,83.0,20.0,86.0,83.0,30.0,85.0,82.0,0.0,0.0,89.0,36.0,21.0,84.0,23.0,63.0,44.0,81.0,65.0,40.0,62.0,55.0,57.0,52.0,89.0,60.0,40.0,75.0,15.0,73.0,83.0,0.0,45.0,41.0,39.0,93.0,88.0,54.0,30.0,14.0,32.0,100.0,84.0,50.0,45.0,21.0,68.0,65.0,70.0,51.0,96.0,0.0,75.0,51.0,76.0,33.0,84.0,97.0,0.0,57.0,84.0,84.0,77.0,86.0,89.0,63.0,0.0,75.0,87.0,85.0,76.0,0.0
Ohio,19.6,19.6,70.0,69.0,65.0,65.0,41.0,75.0,40.0,67.0,13.0,21.0,88.0,76.0,69.0,79.0,52.0,77.0,72.0,32.0,42.0,40.0,38.0,0.0,27.0,67.0,38.0,95.0,34.0,93.0,80.0,53.0,57.0,48.0,80.0,54.0,87.0,86.0,52.0,82.0,78.0,59.0,34.0,20.0,61.0,52.0,72.0,91.0,45.0,85.0,59.0,78.0,62.0,88.0,66.0,78.0,82.0,63.0,45.0,44.0,100.0,90.0,73.0,37.0,68.0,55.0,87.0,55.0,49.0,40.0,55.0,76.0,54.0,61.0,81.0,46.0,79.0,87.0,84.0,79.0,77.0,58.0,66.0,80.0,39.0,33.0,67.0,84.0,54.0,41.0,62.0,74.0,79.0,81.0,79.0,39.0,57.0,64.0,78.0,50.0,71.0,47.0,43.0,50.0,92.0,49.0,86.0,72.0,83.0,77.0,70.0,74.0,82.0,78.0,56.0,88.0,90.0,89.0,69.0,94.0,56.0,92.0,47.0,83.0,48.0,84.0,68.0,35.0,84.0,70.0,79.0,81.0,83.0,86.0,43.0,59.0,67.0,63.0,50.0,57.0,74.0,74.0,66.0,53.0,84.0,39.0,89.0,66.0,77.0,85.0,82.0,14.0,89.0,61.0,85.0,45.0,22.0,65.0,84.0,89.0,74.0,89.0,85.0,47.0,82.0,61.0,72.0,61.0,61.0,56.0,33.0,82.0,92.0,76.0,55.0,73.0,62.0,55.0,47.0,54.0,58.0,69.0,83.0,53.0,72.0,81.0,52.0,67.0,81.0,45.0,57.0,58.0,46.0,68.0,64.0,77.0,52.0,23.0,53.0,54.0,76.0,55.0,60.0,26.0,64.0,72.0,82.0,49.0,77.0,67.0,68.0,63.0,93.0,59.0,71.0,89.0,49.0,60.0,83.0,70.0,80.0,50.0,79.0,84.0,0.0,81.0,82.0,88.0,68.0,48.0
Oklahoma,22.7,22.6,62.0,75.0,73.0,56.0,45.0,0.0,49.0,68.0,9.0,18.0,87.0,67.0,70.0,71.0,52.0,86.0,54.0,30.0,39.0,38.0,68.0,0.0,23.0,70.0,44.0,84.0,67.0,64.0,79.0,45.0,57.0,38.0,76.0,67.0,59.0,84.0,38.0,81.0,83.0,58.0,49.0,17.0,52.0,56.0,65.0,95.0,43.0,79.0,40.0,65.0,80.0,74.0,61.0,83.0,66.0,61.0,43.0,65.0,16.0,83.0,78.0,37.0,78.0,62.0,80.0,63.0,31.0,89.0,49.0,73.0,28.0,41.0,70.0,44.0,80.0,90.0,87.0,73.0,61.0,29.0,77.0,70.0,0.0,31.0,83.0,80.0,48.0,0.0,59.0,24.0,76.0,83.0,55.0,28.0,0.0,60.0,60.0,24.0,54.0,0.0,53.0,51.0,90.0,25.0,78.0,64.0,66.0,87.0,54.0,56.0,70.0,75.0,74.0,87.0,91.0,68.0,69.0,75.0,60.0,90.0,52.0,66.0,57.0,60.0,71.0,0.0,85.0,63.0,81.0,84.0,68.0,77.0,32.0,74.0,65.0,72.0,41.0,63.0,70.0,56.0,51.0,48.0,70.0,43.0,85.0,75.0,82.0,73.0,74.0,100.0,82.0,53.0,79.0,41.0,24.0,64.0,71.0,80.0,39.0,72.0,66.0,69.0,88.0,52.0,78.0,20.0,34.0,61.0,21.0,88.0,49.0,75.0,70.0,69.0,73.0,38.0,42.0,49.0,62.0,83.0,64.0,58.0,46.0,82.0,44.0,77.0,77.0,29.0,40.0,50.0,55.0,67.0,70.0,55.0,34.0,24.0,32.0,53.0,67.0,50.0,65.0,16.0,76.0,65.0,79.0,44.0,55.0,0.0,63.0,44.0,78.0,57.0,77.0,90.0,54.0,48.0,75.0,50.0,79.0,43.0,65.0,69.0,0.0,52.0,73.0,73.0,75.0,64.0
Oregon,26.7,27.0,65.0,35.0,41.0,49.0,33.0,68.0,27.0,58.0,22.0,17.0,65.0,58.0,43.0,49.0,35.0,59.0,58.0,29.0,35.0,37.0,44.0,0.0,23.0,48.0,83.0,53.0,85.0,67.0,52.0,55.0,49.0,24.0,59.0,33.0,62.0,69.0,39.0,57.0,65.0,44.0,42.0,33.0,40.0,14.0,50.0,65.0,32.0,64.0,32.0,61.0,60.0,69.0,57.0,49.0,72.0,41.0,32.0,29.0,15.0,62.0,60.0,30.0,50.0,64.0,57.0,49.0,31.0,56.0,54.0,74.0,47.0,38.0,58.0,34.0,50.0,64.0,66.0,56.0,74.0,42.0,53.0,45.0,25.0,25.0,50.0,70.0,36.0,0.0,28.0,46.0,49.0,59.0,54.0,16.0,0.0,41.0,53.0,20.0,49.0,25.0,62.0,42.0,70.0,24.0,72.0,55.0,43.0,55.0,46.0,39.0,47.0,65.0,57.0,64.0,61.0,44.0,44.0,58.0,45.0,64.0,41.0,59.0,22.0,47.0,49.0,13.0,99.0,57.0,55.0,55.0,59.0,63.0,36.0,50.0,44.0,54.0,44.0,27.0,60.0,52.0,34.0,37.0,57.0,34.0,68.0,62.0,47.0,46.0,54.0,11.0,65.0,35.0,58.0,42.0,22.0,61.0,58.0,64.0,42.0,70.0,59.0,47.0,59.0,43.0,60.0,25.0,33.0,44.0,20.0,66.0,29.0,47.0,44.0,46.0,60.0,38.0,29.0,61.0,47.0,52.0,64.0,26.0,43.0,61.0,29.0,63.0,63.0,44.0,55.0,39.0,26.0,53.0,58.0,62.0,46.0,14.0,23.0,31.0,58.0,40.0,43.0,20.0,45.0,57.0,61.0,32.0,53.0,0.0,64.0,43.0,61.0,41.0,47.0,76.0,51.0,46.0,55.0,44.0,51.0,40.0,66.0,66.0,0.0,48.0,59.0,62.0,82.0,18.0
